creator,subscribers,video_id,title,published_date,month,views,likes,comments,engagements,engagement_rate,duration
TenZ,2720000,suiIzeMzxpo,mogged #tenz #kyedae,2024-09-30,2024-09,686647,28488,204,28692,4.1786,PT29S
TenZ,2720000,BiCvVGcuPKE,sometimes you gotta do it all yourself #valorant #valorantclips #tenz,2024-09-29,2024-09,7389583,351292,898,352190,4.7660,PT56S
TenZ,2720000,oURnWbIQK2k,WHEN TenZ DROPS +30 KILLS TO CARRY KYEDAE IN RADIANT !!!,2024-09-28,2024-09,244270,10564,162,10726,4.3910,PT8M57S
TenZ,2720000,hcFD6En02Ig,I WILL NOT TILT,2024-09-28,2024-09,99967,2570,13,2583,2.5839,PT3H1M12S
TenZ,2720000,i2B98kf2uds,I WILL NOT TILT,2024-09-28,2024-09,107787,2289,3,2292,2.1264,PT4H58M28S
TenZ,2720000,We0qZrzmTYQ,didn't even notice how long i've been streaming @secretlab #SecretlabPartner,2024-09-27,2024-09,76540,6075,24,6099,7.9684,PT58S
TenZ,2720000,yDnWGVLo8XM,RETIRED UNC GAMING,2024-09-27,2024-09,210332,4746,17,4763,2.2645,PT7H53M7S
TenZ,2720000,a4citVwWBCI,valorant now horror later,2024-09-26,2024-09,175579,4299,30,4329,2.4656,PT6H40M3S
TenZ,2720000,FxT699hGN5Y,HOW TO WIN ALL GAMES IN RADIANT RANKED !!! | TenZ,2024-09-25,2024-09,172249,6483,88,6571,3.8148,PT10M40S
TenZ,2720000,cD7OxcMnNWg,slept in today,2024-09-25,2024-09,221464,5333,21,5354,2.4175,PT7H44M16S
tarik,1020000,06j0vZ56HYw,SENTINELS ARE BACK! Tarik Reacts to SEN vs Cloud9 | Red Bull Home Ground Grand Finals,2024-09-30,2024-09,239030,5236,161,5397,2.2579,PT50M53S
tarik,1020000,DYX6ph2za7o,Tarik and TenZ React to Sentinels NEW Roster (SEN vs YFP) | Red Bull Home Ground,2024-09-30,2024-09,308223,7124,262,7386,2.3963,PT1H8M21S
tarik,1020000,JzgYUgH5_WQ,"Can Ludwig's Valorant Team Beat Cloud9? (MxS vs C9) | Red Bull Home Ground",2024-09-29,2024-09,85499,1984,59,2043,2.3895,PT50M10S
tarik,1020000,2y6PJ70iMNY,The Funniest Valorant Game I Have Ever Played,2024-09-28,2024-09,229130,10210,139,10349,4.5166,PT10M21S
tarik,1020000,gGuPzmD6ycE,THIS VIDEO ENDS WHEN I REACH THE HIGHEST RANK IN VALORANT,2024-09-22,2024-09,319175,10249,144,10393,3.2562,PT35M52S
tarik,1020000,uTkkMKzkytA,Never play Valorant after midnight,2024-09-17,2024-09,197719,8291,89,8380,4.2383,PT10M13S
tarik,1020000,OjInIBFXVMA,my valorant account got hacked,2024-09-09,2024-09,224980,8564,130,8694,3.8643,PT10M44S
tarik,1020000,YdPcJO8AUBM,I Spent a Day Grinding for Radiant and This Happened,2024-09-05,2024-09,321006,8564,169,8733,2.7205,PT32M11S
tarik,1020000,m9R28vDKi_M,The Solo Queue Valorant Experience,2024-09-01,2024-09,280886,10167,180,10347,3.6837,PT12M34S
tarik,1020000,MZq9jCZ8O2M,This is How I Will Reach RANK 1,2024-08-29,2024-08,206802,7986,150,8136,3.9342,PT12M41S
Kyedae,1460000,URJrCcjCpts,How You SHOULD Play Omen | Kyedae,2024-09-28,2024-09,77606,3279,79,3358,4.3270,PT10M50S
Kyedae,1460000,GQ8TYX16fhU,Astra Meta Is SO Back! | Kyedae,2024-09-26,2024-09,74480,3282,81,3363,4.5153,PT12M47S
Kyedae,1460000,Q9-mm5YlhYU,"They're FINALLY Removing Icebox?! | Kyedae",2024-09-24,2024-09,88760,3894,130,4024,4.5336,PT10M42S
Kyedae,1460000,JhRWjSQwBAA,Why Omen is BROKEN On Lotus | Kyedae,2024-09-18,2024-09,77563,3256,55,3311,4.2688,PT11M58S
Kyedae,1460000,aEhh2sna4_0,Playing Cypher like BenjyFishy | Kyedae,2024-09-16,2024-09,87625,4018,60,4078,4.6539,PT12M33S
Kyedae,1460000,tt1kDK-Q84U,"Kyedae REACTS To State Farm Gamerhood: Neo City",2024-09-14,2024-09,14333,488,23,511,3.5652,PT9M57S
Kyedae,1460000,A9q8i1abExQ,"We SHOULDN'T Have Won This Game... | Kyedae",2024-09-13,2024-09,91640,3469,49,3518,3.8389,PT14M47S
Kyedae,1460000,7uFVGVhqci0,Why Killjoy is SO GOOD On Ascent | Kyedae,2024-09-11,2024-09,155861,6099,125,6224,3.9933,PT10M35S
Kyedae,1460000,Rg7qfwugLFo,"Kyedae Reacts To EDG vs Team Heretics | VCT Champions Seoul 2024 | Grand Finals!",2024-08-25,2024-08,145872,2778,115,2893,1.9832,PT1H26M55S
Kyedae,1460000,zo4f-23vSS8,"Kyedae Reacts To Sentinels vs Team Heretics | VCT Champions Seoul 2024 | Playoffs Elimination",2024-08-23,2024-08,129025,2905,416,3321,2.5739,PT52M33S
aceu,1830000,yhlcasmTXvM,ICEBOX STILL EXISTS?? | Unranked to Radiant #36,2024-09-30,2024-09,35623,1383,39,1422,3.9918,PT8M52S
aceu,1830000,Si6bHTaiTCY,hard carry haze,2024-09-29,2024-09,58258,1241,114,1355,2.3259,PT19M33S
aceu,1830000,C8njMgUW0ko,grandpa with da bow,2024-09-27,2024-09,39068,990,72,1062,2.7183,PT13M18S
aceu,1830000,yz56oeTO1bo,the worst hero in the game?,2024-09-25,2024-09,28720,672,58,730,2.5418,PT10M28S
aceu,1830000,Fx-Dm7Et1cU,pocket is kinda overpowered no?,2024-09-24,2024-09,72813,1423,150,1573,2.1603,PT20M33S
aceu,1830000,jSKbfx8aVz4,THE LONGEST GAME OF THE SEASON?? | Unranked to Radiant #35,2024-09-23,2024-09,42011,1634,33,1667,3.9680,PT10M38S
aceu,1830000,OWE68XsLYGE,HIGH ELO 30 BOMB | Unranked to Radiant #34,2024-09-22,2024-09,46734,1727,34,1761,3.7681,PT8M48S
aceu,1830000,cVR0FXmRgcc,THIS VANDAL SKIN IS GOATED | Unranked to Radiant #33,2024-09-21,2024-09,39659,1551,41,1592,4.0142,PT8M34S
aceu,1830000,kcMpglz8lIk,PROVING JETT IS STILL THE BEST?? | Unranked to Radiant #32,2024-09-20,2024-09,36298,1447,35,1482,4.0829,PT8M45S
aceu,1830000,W_OqsLiQmVI,a wraith main again??,2024-09-18,2024-09,95248,2232,145,2377,2.4956,PT15M20S
Sinatraa,512000,Mx7rZpd-Q9Y,THIS REYNA WAS ACTUALLY TWEAKING,2024-09-29,2024-09,55513,2488,134,2622,4.7232,PT8M17S
Sinatraa,512000,M1HJkDcioKU,WHAT A 100% WINRATE ON SOVA LOOKS LIKE...,2024-09-28,2024-09,130840,3854,106,3960,3.0266,PT9M56S
Sinatraa,512000,t5gs3-7Ie7w,THIS CLOVE HAD ME CRYING (DUOS WITH INSPIRE),2024-09-27,2024-09,53570,2172,92,2264,4.2262,PT9M32S
Sinatraa,512000,kKyjOpk11hs,SINATRAA CARRIES PROD AGAINST SEN ZEKKEN!,2024-09-27,2024-09,47697,1927,88,2015,4.2246,PT10M23S
Sinatraa,512000,iRzmJxKFiPY,HOW IT FEELS TO CARRY PROD...,2024-09-26,2024-09,83893,3829,188,4017,4.7882,PT9M16S
Protatomonster,870000,TkRTGoI6AZs,VALORANT But Only PERFECT Abilities and Ults...,2024-09-30,2024-09,58531,1059,35,1094,1.8691,PT22M50S
Protatomonster,870000,vbGZUo7L-5E,FUNNIEST MOMENTS IN VALORANT #213,2024-09-29,2024-09,56769,1186,42,1228,2.1632,PT18M23S
Protatomonster,870000,1PyySNqiQ6c,SMARTEST MOMENTS IN VALORANT #182,2024-09-28,2024-09,133650,2173,46,2219,1.6603,PT17M23S
Protatomonster,870000,ZnCqTfIObw4,THE POWER OF RADIANT AIM IN VALORANT,2024-09-27,2024-09,48087,894,44,938,1.9506,PT19M50S
Protatomonster,870000,Bo7lXSjd7vs,Valorant fails you can cry to...,2024-09-26,2024-09,65690,1265,36,1301,1.9805,PT11M36S
Protatomonster,870000,jRjhAp03DMg,18 Minutes of the PERFECT Abilities in VALORANT,2024-09-25,2024-09,85673,1403,41,1444,1.6855,PT18M55S
Protatomonster,870000,okpJhxPC_e4,"40 ""UNBELIEVABLE"" VALORANT 1v5's",2024-09-24,2024-09,82526,1391,53,1444,1.7498,PT20M47S
Protatomonster,870000,Xqphm9NbwB8,The Perfect Clutch Doesn't Exi...,2024-09-23,2024-09,53456,983,26,1009,1.8875,PT21M47S
